GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,7,133,1,1,2,20,1,13,0,13
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,31,304,4,4,2,46,5,19,1,19
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,9,136,2,2,4,31,4,5,2,5
