GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,InfrastructureDeployableBase,0,24,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployable,0,34,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployableContainer,4,153,0,0,2,18,2,13,2,13
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoClusterInfrastructureController,9,82,1,1,4,21,3,4,2,4
