GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginDeployableContainer,0,193,0,2,0,35,0,18,0,17
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginServerDeployable,0,87,0,2,0,17,0,11,0,10
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginSidecarDeployableContainer,0,117,0,0,0,19,0,14,0,14
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginController,9,65,0,2,4,15,2,4,2,3
