GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,10,134,0,2,3,20,1,14,1,13
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,19,316,2,6,1,47,3,21,1,19
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,9,137,2,2,4,32,4,5,2,5
