GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Database Job,org.entando.k8s.db.job,CreateSchemaCommand,32,80,0,2,7,23,2,7,2,6
Entando K8S Database Job,org.entando.k8s.db.job,PropertiesBasedDatabaseAdminConfig,0,78,0,2,0,17,0,13,0,12
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,144,0,0,0,25,0,7,0,7
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect,0,66,0,2,0,13,0,5,0,4
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,147,0,0,0,20,0,8,0,8
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,149,1,1,0,24,1,7,0,7
