GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ActionLogRecordDtoBuilder,68,0,0,0,16,0,7,0,7,0
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ActionLogRecordDto.LikeInfo,29,0,0,0,11,0,6,0,6,0
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ActionLogRecord,59,0,0,0,25,0,17,0,17,0
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ActionLogRecordDto.CommentInfo,38,0,0,0,14,0,8,0,8,0
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ActionLogRecordSearchBean,66,0,0,0,28,0,19,0,19,0
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ManagerConfiguration,36,0,0,0,13,0,7,0,7,0
Entando Core: Engine,org.entando.entando.aps.system.services.actionlog.model,ActivityStreamInfo,89,0,6,0,34,0,23,0,20,0
Entando Core: Engine,org.entando.entando.aps.system.services.pagemodel,PageModelService,479,398,43,25,103,96,37,24,8,19
Entando Core: Engine,org.entando.entando.web.page,PageConfigurationController,300,0,10,0,56,0,16,0,11,0
Entando Core: Engine,org.entando.entando.web.page,PageController,451,180,20,12,75,42,24,13,9,12
Entando Core: Engine,org.entando.entando.web.page,PageDtoToRequestConverter,53,0,0,0,14,0,2,0,2,0
Entando Core: Engine,com.agiletec.aps.system.services.category.cache,CategoryManagerCacheWrapper,560,0,40,0,126,0,37,0,17,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.model,ApiDataObjectListBean,127,0,12,0,34,0,15,0,9,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.model,JAXBDataObjectAttribute,31,0,0,0,14,0,9,0,9,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.model,JAXBDataObject,52,0,0,0,20,0,10,0,10,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.model,JAXBDataObjectType,21,0,0,0,10,0,6,0,6,0
Entando Core: Engine,org.entando.entando.aps.system.common.command.constants,ApsCommandStatus,54,0,0,0,6,0,1,0,1,0
Entando Core: Engine,org.entando.entando.aps.system.common.command.constants,ApsCommandWarningCode,14,0,0,0,2,0,1,0,1,0
Entando Core: Engine,org.entando.entando.aps.system.common.command.constants,ApsCommandErrorCode,54,0,0,0,6,0,1,0,1,0
Entando Core: Engine,org.entando.entando.aps.servlet,ProtectedResourceWardenServlet,61,0,4,0,17,0,5,0,3,0
Entando Core: Engine,org.entando.entando.aps.servlet,StartupListener,44,0,0,0,8,0,2,0,2,0
Entando Core: Engine,com.agiletec.aps.system.services.category,Category,215,0,24,0,55,0,24,0,12,0
Entando Core: Engine,com.agiletec.aps.system.services.category,CategoryManager,654,4,58,0,158,1,57,1,28,1
Entando Core: Engine,com.agiletec.aps.system.services.category,ReloadingCategoryReferencesThread,48,0,0,0,19,0,8,0,8,0
Entando Core: Engine,com.agiletec.aps.system.services.category,CategoryDAO,328,0,2,0,94,0,13,0,12,0
Entando Core: Engine,org.entando.entando.aps.system.common.command.tracer,DefaultBulkCommandTracer,44,0,4,0,11,0,9,0,7,0
Entando Core: Engine,org.entando.entando.web.filebrowser.validator,FileBrowserValidator,179,0,18,0,35,0,14,0,5,0
Entando Core: Engine,com.agiletec.aps.system.services.keygenerator.cache,KeyGeneratorManagerCacheWrapper,82,0,0,0,22,0,8,0,8,0
Entando Core: Engine,org.entando.entando.aps.system.services.page.serializer,WidgetConfigPropertiesDeserializer,218,0,18,0,40,0,15,0,6,0
Entando Core: Engine,org.entando.entando.aps.system.services.page.serializer,WidgetConfigPropertiesSerializer,366,0,34,0,83,0,31,0,14,0
Entando Core: Engine,org.entando.entando.web.guifragment.validator,GuiFragmentValidator,22,100,1,9,5,20,2,8,1,4
Entando Core: Engine,com.agiletec.aps.system.services.url,AbstractURLManager,104,0,10,0,27,0,11,0,6,0
Entando Core: Engine,com.agiletec.aps.system.services.url,PageURL,124,0,18,0,40,0,23,0,14,0
Entando Core: Engine,com.agiletec.aps.system.services.url,URLManager,422,0,52,0,98,0,47,0,21,0
Entando Core: Engine,org.entando.entando.aps.system.services.i18n.inlinediting,ApiI18nLabelInterface,175,0,22,0,43,0,15,0,4,0
Entando Core: Engine,com.agiletec.aps.system.services.page.events,PageChangedEvent,35,10,0,0,15,4,10,3,10,3
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectsearchengine,IndexerDAO,438,0,38,0,110,0,34,0,15,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectsearchengine,SearchEngineDAOFactory,319,0,26,0,81,0,35,0,22,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectsearchengine,SearcherDAO,622,0,86,0,138,0,56,0,13,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectsearchengine,IndexLoaderThread,107,0,4,0,34,0,7,0,5,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectsearchengine,LastReloadInfo,17,0,0,0,7,0,5,0,5,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectsearchengine,SearchEngineManager,519,0,58,0,143,0,58,0,28,0
Entando Core: Engine,org.entando.entando.aps.system.services.guifragment,GuiFragmentService,218,196,13,9,53,43,19,11,8,11
Entando Core: Engine,org.entando.entando.aps.system.services.guifragment,GuiFragmentDAO,504,0,20,0,138,0,27,0,17,0
Entando Core: Engine,org.entando.entando.aps.system.services.guifragment,GuiFragment,57,37,2,0,19,15,7,11,6,11
Entando Core: Engine,org.entando.entando.aps.system.services.guifragment,GuiFragmentManager,553,0,26,0,136,0,33,0,20,0
Entando Core: Engine,com.agiletec.aps.system.common.util,EntityAttributeIterator,71,0,6,0,16,0,8,0,5,0
Entando Core: Engine,org.entando.entando.aps.system.services.api.cache,ApiResourceCacheWrapper,65,0,0,0,18,0,8,0,8,0
Entando Core: Engine,org.entando.entando.aps.system.services.api.cache,ApiServiceCacheWrapper,117,0,4,0,30,0,12,0,10,0
Entando Core: Engine,org.entando.entando.web.usersettings,UserSettingsController,34,24,1,1,6,7,3,3,2,3
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.response,DataObjectTypeResponse,11,0,0,0,3,0,3,0,3,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.response,DataObjectTypeResponseResult,7,0,0,0,2,0,2,0,2,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.response,DataObjectResponseResult,7,0,0,0,2,0,2,0,2,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobject.api.response,DataObjectResponse,11,0,0,0,3,0,3,0,3,0
Entando Core: Engine,com.agiletec.aps.system.services.page.cache,PageManagerCacheWrapper,2231,0,258,0,429,0,172,0,43,0
Entando Core: Engine,org.entando.entando.web.common,EntandoMessageCodesResolver,15,108,3,5,2,25,3,8,0,7
Entando Core: Engine,org.entando.entando.aps.system.services.usersettings,UserSettingsService,97,0,0,0,26,0,8,0,8,0
Entando Core: Engine,org.entando.entando.web.dataobject,DataTypeController,548,104,23,5,95,24,28,8,15,7
Entando Core: Engine,org.entando.entando.aps.system.common.command,BaseBulkCommand,223,0,22,0,63,0,36,0,25,0
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectmapper,DataObjectPageMapper,14,21,0,0,4,6,3,3,3,3
Entando Core: Engine,org.entando.entando.aps.system.services.dataobjectmapper,DataObjectPageMapperManager,15,52,2,0,3,18,1,10,0,10
Entando Core: Engine,org.entando.entando.aps.system.services.usersettings.model,UserSettingsDtoBuilder,63,0,4,0,13,0,6,0,4,0
Entando Core: Engine,org.entando.entando.aps.system.services.usersettings.model,UserSettingsDto,38,0,0,0,16,0,11,0,11,0
Entando Core: Engine,org.entando.entando.web.group.validator,GroupValidator,27,25,3,1,6,4,4,2,2,2
Entando Core: Engine,org.entando.entando.web.api.oauth2,ApiConsumerResourceController,61,28,0,0,9,8,3,4,3,4
Entando Core: Engine,org.entando.entando.web.category,CategoryController,136,67,6,0,24,15,8,6,5,6
Entando Core: Engine,com.agiletec.aps.system.services.lang.events,LangsChangedEvent,7,3,0,0,3,1,2,1,2,1
Entando Core: Engine,org.entando.entando.aps.system.services.api.provider.jsonp,JSONPProvider,47,0,8,0,10,0,6,0,2,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.model,WidgetDto.GuiFragmentRef,27,0,0,0,10,0,7,0,7,0
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.model,WidgetDetails,9,22,0,0,3,11,3,6,3,6
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.model,WidgetInfoDto,14,39,0,0,6,14,4,7,4,7
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.model,WidgetDto,29,93,0,0,9,36,3,22,3,22
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.model,WidgetDtoBuilder,49,166,11,9,7,43,9,10,0,9
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.model,WidgetDtoBuilder.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
Entando Core: Engine,org.entando.entando.web.widget.validator,WidgetValidator,44,65,4,6,5,14,5,5,1,4
Entando Core: Engine,org.entando.entando.web.dataobject.validator,DataTypeValidator,3,10,0,0,1,4,1,3,1,3
Entando Core: Engine,org.entando.entando.aps.system.common.entity.api,JAXBEntityType,165,4,10,0,45,1,16,1,11,1
Entando Core: Engine,org.entando.entando.aps.system.common.entity.api,ApiEntityTypeInterface,400,0,16,0,90,0,21,0,13,0
Entando Core: Engine,org.entando.entando.web.usersettings.model,UserSettingsRequest,49,42,2,0,9,17,2,11,1,11
Entando Core: Engine,org.entando.entando.aps.system.services.widgettype.cache,WidgetTypeManagerCacheWrapper,101,0,4,0,29,0,13,0,11,0
Entando Core: Engine,org.entando.entando.web.common.handlers,RestExceptionHandler,86,289,5,9,14,52,7,19,3,16
Entando Core: Engine,com.agiletec.aps.tags.util,PagerVO,141,0,4,0,49,0,31,0,29,0
Entando Core: Engine,com.agiletec.aps.tags.util,PagerTagHelper,363,0,38,0,98,0,28,0,9,0
Entando Core: Engine,com.agiletec.aps.tags.util,BaseFrameDecoratorContainer,50,0,0,0,22,0,15,0,15,0
Entando Core: Engine,com.agiletec.aps.tags.util,SmallCategory,23,0,0,0,8,0,6,0,6,0
Entando Core: Engine,com.agiletec.aps.tags.util,HeadInfoContainer,41,0,4,0,11,0,5,0,3,0
Entando Core: Engine,org.entando.entando.web.user.validator,UserAuthorityValidator,5,16,3,1,0,3,2,4,0,4
