GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Database Job,org.entando.k8s.db.job,CreateSchemaCommand,32,94,0,4,7,27,2,8,2,6
Entando K8S Database Job,org.entando.k8s.db.job,PropertiesBasedDatabaseAdminConfig,0,86,0,2,0,18,0,14,0,13
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,162,0,0,0,28,0,8,0,8
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect,6,60,0,2,2,11,0,5,0,4
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,204,0,2,0,25,0,10,0,9
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,190,1,3,0,30,1,9,0,8
