GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoControllerCoordinator,0,126,0,0,0,25,0,6,0,6
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoResourceObserver,63,195,9,11,9,40,11,13,4,10
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoDeploymentPhaseWatcher,13,83,2,6,5,21,3,8,1,6
