GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoControllerCoordinator,157,0,4,0,31,0,8,0,6,0
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoResourceObserver,295,0,26,0,55,0,28,0,15,0
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoDeploymentPhaseWatcher,94,0,8,0,26,0,11,0,7,0
