GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoDatabaseConsumingContainer.EntandoAppDatabasePopulator,0,30,0,0,0,7,0,4,0,4
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,AppBuilderDeployableContainer,0,38,0,0,0,12,0,9,0,9
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppDeployableContainer,0,91,0,0,0,21,0,15,0,15
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppServerDeployable,0,117,1,3,0,17,1,14,0,13
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppController,11,104,1,1,5,24,3,7,2,7
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoDatabaseConsumingContainer,0,156,0,2,0,28,0,10,0,9
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,ComponentManagerDeployableContainer,0,261,0,2,0,43,0,19,0,18
