GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginDeployableContainer,2,351,2,2,1,59,2,19,0,19
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginServerDeployable,0,58,0,0,0,13,0,9,0,9
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginSidecarDeployableContainer,0,112,0,0,0,18,0,13,0,13
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginController,9,67,0,0,4,14,2,3,2,3
