GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,AppBuilderDeployableContainer,0,37,0,0,0,12,0,9,0,9
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppDeployableContainer,0,84,0,0,0,20,0,14,0,14
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppServerDeployable,0,92,0,0,0,16,0,11,0,11
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,EntandoAppController,11,100,1,1,5,24,3,7,2,7
Entando K8S Controller for Entando App Deployments,org.entando.kubernetes.controller.app,ComponentManagerDeployableContainer,0,176,0,0,0,30,0,16,0,16
