GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,InfrastructureDeployableBase,0,24,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,DigitalExchangeDatabasePopulator,0,30,0,0,0,7,0,4,0,4
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployable,0,34,0,0,0,7,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoK8SServiceDeployableContainer,4,153,0,0,2,18,2,13,2,13
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,DigitalExchangeDeployable,0,38,0,0,0,8,0,5,0,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,EntandoClusterInfrastructureController,9,113,1,1,4,27,3,5,2,5
Entando K8S Controller for Entando Cluster Infrastructure Deployments,org.entando.kubernetes.controller.clusterinfrastructure,DigitalExchangeDeployableContainer,0,65,0,0,0,19,0,14,0,14
